u1810	u17561
u23160	.
u23163	.
u23162	.
u23169	.
u23168	.
u27895	u944
u27894	u30200
u27897	u40244
u27896	u449
u27891	u25
u27890	u37987
u27893	u25
u27892	u18123
u27899	u944
u27898	u19886
u29447	.
u11775	u970
u12942	u449
u12941	u128
u12940	u449
u12947	.
u12946	u6622
u12945	u19886
u12944	u449
u12949	u3111
u12948	u27016
u32436	.
u11774	u3620
u15629	u19886
u15628	.
u15627	u1112
u15626	.
u15625	u1095
u15624	u21318
u15623	u581
u15622	.
u15621	u25491
u15620	u1112
u11777	.
u18394	.
u18395	.
u18396	u3132
u18397	u27016
u18390	u1831
u18391	u19886
u18392	u1680
u18393	u18389
u18398	u25
u18399	u970
u39188	.
u39189	u38261
u39180	u21764
u39181	.
u39182	.
u39183	.
u39184	u37734
u39185	.
u39186	.
u39187	.
u34827	.
u35425	.
u34533	.
u13708	u21429
u13709	u16596
u13702	.
u13703	.
u13700	.
u13701	.
u13706	u26521
u13707	.
u13704	u1680
u13705	.
u30446	u24354
u30447	u16
u43585	u260
u43584	u25
u43587	u25
u43586	u991
u43581	u7128
u43580	u7128
u43583	u16
u43582	u25
u8000	u16
u8001	u1962
u8002	.
u8003	u191
u8004	.
u8005	u2472
u8006	.
u8007	.
u38279	.
u38278	.
u44128	u449
u44129	.
u38271	.
u38270	.
u44124	.
u44125	.
u44122	.
u38274	u970
u38277	.
u38276	.
u11466	u410
u42988	u25
u42989	u2043
u42986	u4405
u42987	u37820
u42984	u37237
u42985	u39109
u42982	u36707
u42983	u36738
u42980	u37936
u42981	u37793
u43639	u991
u43638	u449
u43637	u25
u43636	u991
u43635	u25
u43634	u2043
u43633	u2043
u43632	u2043
u43631	u25
u43630	u2043
u40588	.
u40589	.
u40580	.
u40581	.
u40582	.
u19422	u556
u40584	.
u40585	.
u40586	.
u40587	.
u6473	u29403
u29938	u449
u29939	u449
u9759	.
u9758	u6839
u32530	.
u32531	.
u32532	.
u32533	.
u9753	u16
u9752	.
u9751	u16
u29933	.
u29934	u556
u9756	u16
u9755	u16596
u29937	.
u17253	u16596
u45299	.
u45298	.
u45297	.
u45296	.
u45295	.
u45294	.
u45293	u37824
u45292	.
u45291	.
u45290	.
u4251	.
u4250	u944
u4253	u17561
u4252	u1831
u4255	u7170
u4254	u26307
u4257	u16
u41988	.
u4259	u24342
u41986	.
u41985	u21207
u41984	.
u41983	.
u41982	.
u41981	.
u41980	.
u45749	.
u45748	u37720
u45741	.
u45740	u37820
u45743	.
u45742	.
u45745	.
u45744	.
u45747	.
u45746	.
u41679	.
u41678	.
u41671	.
u41670	.
u41673	.
u41672	.
u41675	.
u41674	u37899
u41677	.
u41676	.
u17076	.
u21831	u16
u21830	u260
u21833	.
u21832	.
u21835	u16
u21834	u16
u21837	u1971
u21836	.
u21839	u703
u21838	.
u6474	u16
u33509	u16596
u42216	.
u42217	.
u42214	.
u42215	.
u42212	.
u42213	.
u42210	.
u42211	.
u42218	.
u42219	u4405
u36538	u449
u36539	u449
u33728	.
u33729	u38301
u36530	u25
u36531	u25
u36532	u2043
u36533	u449
u36534	u449
u36535	u449
u36536	u25
u36537	u449
u30262	u25
u30263	u9863
u30260	u7128
u30261	u7128
u30266	u25
u30267	u27311
u30264	u25
u12515	.
u30268	u449
u30269	u2619
u12516	u970
u34972	u37936
u34973	u33755
u34970	u37743
u12517	u970
u34976	u37777
u34977	u38837
u34974	.
u34975	u37720
u12510	u4313
u34978	u45359
u34979	.
u12511	u16
u1371	u27016
u1370	u7417
u1373	u16
u1372	u25
u1375	u3554
u1374	u449
u4343	u16
u1376	u2885
u1379	u55
u1378	u40211
u12513	.
u44919	u16596
u44918	u8730
u44917	u16596
u44916	u25
u44915	u449
u44914	u25
u44913	u556
u44912	u556
u44911	u16
u44910	u3554
u27518	u43766
u27519	u449
u4341	u7460
u6534	u16
u2875	u2292
u27516	u25
u34396	u35872
u15155	u1041
u34394	.
u7918	u2026
u17478	u27
u17479	u1680
u34390	.
u15154	u20876
u17474	u2701
u17475	u55
u17476	.
u17477	.
u17470	.
u17471	u25024
u17472	u25024
u17473	u25
u20047	u19886
u20046	.
u1997	u27016
u20044	u2472
u20043	u2472
u20042	.
u20041	u2472
u20040	u2879
u2874	u27
u1999	u55
u1998	u7112
u20049	u19886
u20048	.
u28212	u449
u28213	u879
u28210	u38508
u28211	u27591
u28216	u944
u15153	u260
u28214	u19886
u28215	.
u28218	u2043
u15152	.
u35373	.
u35372	.
u35371	.
u6342	u8588
u6345	u7529
u35376	.
u35375	.
u6346	.
u6349	.
u6348	u16
u35379	.
u35378	u37820
u34020	.
u34021	.
u34022	.
u34023	u45658
u34024	u40715
u34025	.
u34026	.
u34027	.
u34028	u40613
u34029	.
u6533	u24334
u37289	.
u37288	.
u37285	.
u37284	.
u37287	.
u37286	.
u37281	.
u37280	.
u37283	u39199
u37282	.
u31618	u2701
u31619	u2026
u31610	u2026
u31611	u19886
u31612	.
u31613	u25
u31614	u17125
u31615	u16596
u31616	u2026
u6530	u7326
u2867	u449
u37421	.
u37420	.
u37423	u8582
u3269	u477
u3268	u27016
u37422	.
u3261	u16
u3260	u16
u3263	u16596
u3262	u991
u3265	u556
u3264	u19886
u3267	u16596
u37424	.
u16709	u410
u37427	.
u16705	u2125
u16704	.
u16707	u16596
u37426	.
u16701	u3554
u16700	u17709
u16703	u3554
u16702	u6173
u21794	.
u36881	u2701
u21796	.
u21797	u1759
u21790	u16
u21791	u27
u21792	u1095
u36887	u16
u36888	u449
u36889	u449
u21798	.
u21799	u16
u2934	u55
u38394	u25
u43249	u449
u2935	u16596
u38398	u449
u43245	u1095
u26078	u22635
u26079	u7128
u26074	u13525
u26075	u260
u26076	u23289
u26077	u741
u26070	.
u26071	u7128
u26072	.
u26073	u7569
u2932	u38997
u19058	u37845
u4027	u27016
u19059	.
u32732	u37935
u5280	u55
u494	u3632
u495	u449
u9513	u449
u9512	u7412
u9515	u2043
u491	u16596
u9517	u5049
u493	u19793
u32220	.
u11164	u191
u11165	u25
u11166	u7240
u11167	u24396
u11160	u944
u11161	.
u11162	u2382
u11163	u38022
u33907	.
u11168	u7240
u11169	u16
u357	u16596
u356	u20050
u355	u16
u354	u16596
u353	u27
u352	u8555
u351	u16596
u350	u2545
u359	u449
u358	u556
u27309	u2026
u27308	u1095
u27305	u27363
u27304	u16
u27307	u2701
u27306	u741
u27301	u25
u27300	u16
u27303	u7120
u27302	u27016
u25817	.
u25816	u16
u25815	.
u25814	u19886
u25813	.
u25812	u21639
u25811	u27016
u25810	u16
u10413	u806
u10412	.
u10411	u55
u10410	u806
u10417	u703
u10416	u16
u25819	.
u25818	u16
u20829	u2043
u20828	u16
u1295	u1297
u20821	u4211
u20820	u7185
u20823	u24247
u20822	u21970
u20825	u24884
u20824	u7589
u20827	u3841
u20826	u7300
u5931	.
u5930	u29610
u5083	u1095
u5082	u20221
u5081	.
u5080	u16
u5087	u3782
u5086	u17026
u5085	u19854
u5084	u16
u5089	u15992
u5088	u449
u23558	.
u23559	u16
u23554	.
u23555	u21639
u23556	u24050
u23557	u16
u23550	u970
u23551	u7128
u23552	u29572
u23553	u5277
u5559	.
u5558	.
u5551	u16
u5550	u24300
u5553	u556
u5552	u25
u5555	u410
u5554	u7059
u5557	u944
u5556	.
u13148	u191
u13149	u55
u13140	u16
u13141	u260
u13142	u7986
u13143	u581
u13144	.
u13145	u2583
u13146	u3786
u13147	u21928
u17867	u693
u17866	u23445
u17865	.
u17864	u12207
u17863	u35380
u17862	u6587
u17861	u20538
u17860	.
u17869	.
u17868	u9235
u38077	.
u38076	.
u38075	.
u38074	.
u38073	.
u38072	.
u38071	.
u38070	.
u38079	.
u38078	.
u26898	u1095
u26899	u17497
u26896	u1095
u26897	u16596
u26894	u16596
u26895	.
u26892	u8289
u26893	.
u26890	u1958
u26891	u19886
u24029	u7128
u24028	u2043
u24025	u581
u24024	u27016
u24027	u27016
u24026	u741
u24021	u1971
u24020	u1364
u24023	u581
u24022	.
u2925	u16596
u32168	.
u2924	u997
u2927	u12166
u45082	u16
u2926	u16
u45083	u29041
u2921	u6839
u2920	.
u2923	u25929
u2922	u18974
u32161	.
u32160	.
u30947	u449
u45088	u165
u45089	u27591
u17135	u449
u17134	u449
u17137	u3868
u17136	u16
u17131	u3144
u17130	u16596
u17133	u449
u17132	u16
u30946	u449
u17139	u55
u17138	.
u30945	u449
u30944	u449
u25044	u25
u25045	u7834
u25046	.
u25047	.
u25040	u25
u25041	u25
u25042	u16
u25043	u25
u25048	.
u25049	u191
u41479	.
u41478	.
u43901	.
u43900	.
u43903	u191
u43902	.
u43905	.
u43904	.
u43907	.
u43906	u35400
u43909	u38032
u43908	.
u13650	u2026
u13651	u26742
u13652	u9863
u13653	u27363
u13654	u2043
u13655	u9863
u13656	u7128
u13657	u1777
u13658	u2701
u13659	u20
u34661	u410
u22405	.
u22404	.
u22407	u3245
u22406	u19191
u22401	.
u22400	.
u22403	.
u22402	.
u22409	u2218
u22408	.
u13939	.
u13938	.
u26537	u23211
u26536	.
u26531	u16596
u26530	u27397
u26533	u7872
u26532	u16596
u13931	u1961
u13930	u10321
u13933	u16
u13932	u25219
u13935	u7589
u13934	u7589
u13937	.
u13936	.
u30167	u39044
u11964	u16596
u21469	.
u11965	u21207
u32972	.
u11966	u16596
u18857	u25
u26653	.
u11960	u11952
u31131	u2008
u11961	u449
u11962	u806
u11963	u25
u18856	u55
u21461	.
u21466	.
u30168	u944
u42357	.
u42356	.
u42355	u37156
u42354	.
u42353	.
u42352	.
u42351	.
u42350	.
u42359	.
u42358	.
u34894	u25
u43096	.
u18585	u27016
u18584	u16
u18587	u1095
u18586	.
u18581	.
u18580	.
u18583	.
u18582	.
u34892	.
u18589	.
u18588	u16
u10350	u449
u10351	.
u10352	u19925
u10353	u7412
u10354	.
u10355	u449
u10356	u25666
u10357	u449
u10358	u16
u10359	.
u34899	u25
u34898	u25
u19988	u23924
u19989	u16596
u19986	u16596
u19987	u260
u19984	u5794
u19985	u816
u19982	.
u19983	u5794
u19980	u3554
u19981	u3617
u18639	.
u18638	.
u18637	.
u18636	.
u18635	.
u18634	.
u18633	.
u18632	.
u18631	.
u18630	.
u39069	.
u39068	.
u39067	u19886
u39066	u19886
u39065	u19886
u39064	u19886
u39063	u19886
u39062	u7471
u39061	.
u39060	u19886
u2338	u1095
u2339	u19886
u2330	u16
u2331	u7792
u2332	u556
u2333	u19923
u2334	u39248
u2335	u16
u2336	u6839
u2337	u16
u42825	.
u42824	u39207
u3069	u39044
u3068	u37218
u42821	.
u42820	.
u42823	.
u42822	u37936
u3063	u6622
u3062	u16
u3061	u7463
u3060	u511
u3067	.
u42828	u37837
u3065	.
u3064	u410
u36813	.
u34617	u25
u28948	u2043
u28949	u449
u20722	.
u28947	u2043
u28944	u2043
u28945	u2043
u28942	u1297
u28943	u1297
u28940	u2043
u28941	u16
u34616	u25
u38362	.
u29019	u38960
u29018	u994
u29013	u4138
u29012	u449
u29011	u19923
u29010	u16
u29017	u3554
u29016	u24478
u29015	u45330
u29014	u2043
u8639	.
u8638	u16
u4592	u16
u4593	u18674
u8631	u191
u4591	u16
u8637	u7471
u8636	u4463
u4594	u19886
u4595	u19886
u30811	u25
u30810	u449
u30813	u2267
u30812	u15905
u30815	u449
u30814	u27298
u44379	.
u44378	.
u44377	u38372
u44376	.
u44375	.
u44374	.
u44373	.
u44372	.
u44371	u35917
u44370	.
u40469	u38081
u40468	.
u40467	.
u40466	.
u40465	.
u40464	.
u40463	.
u40462	.
u40461	.
u40460	.
u4040	.
u4041	u16
u4042	u6637
u4043	u880
u4044	u19886
u4045	u19886
u4046	u23523
u41137	.
u4048	u16
u4049	.
u19216	u191
u19217	u994
u19214	u6622
u19215	.
u19212	.
u19213	.
u19210	.
u19211	.
u41131	u24302
u19218	u2043
u19219	.
u5288	u4313
u34611	u25
u33627	.
u33626	.
u42858	u37765
u33625	.
u42859	u45480
u12441	u16596
u33624	.
u33623	u38005
u33622	.
u8668	u7185
u33621	.
u8669	u29572
u33620	.
u4569	u520
u9270	u3445
u9271	u16
u9272	.
u9273	u449
u9274	u25089
u9275	.
u9276	.
u9277	u25
u9278	u25
u9279	u6400
u31072	u19886
u31073	u19886
u31074	u27016
u31075	u25
u31076	u4405
u31077	u1297
u35948	.
u35949	.
u35940	.
u35941	.
u35942	.
u35943	.
u35944	.
u35945	.
u35946	.
u35947	.
u37898	.
u37899	.
u31638	u2701
u8845	u25561
u37890	.
u37891	.
u37892	.
u37893	u1095
u37894	.
u37895	.
u37896	.
u37897	.
u36769	u19886
u36768	u16
u5719	u27016
u28624	u1095
u31386	u449
u31387	u2026
u31384	u2472
u31385	u2026
u36761	u25
u36760	u25
u36763	u449
u36762	u25
u36765	u25
u36764	u25
u36767	u3250
u28622	u16
u35492	.
u35493	u37731
u35490	.
u35491	.
u35496	.
u22285	.
u35494	.
u769	u3445
u766	u2043
u767	u25
u35498	.
u765	u175
u762	u18896
u763	u556
u760	u55
u761	u25089
u34566	u28474
u30389	u449
u30388	u16
u30381	u25
u30380	u25
u30383	u806
u30382	u25
u30385	u16
u30384	u2701
u30387	u27334
u30386	u16596
u35236	u2026
u35237	u25
u35234	u25
u35235	u25
u35232	u2026
u35233	u991
u35230	u2701
u35231	u7128
u6671	u24170
u35238	u449
u35239	u25
u30033	u2701
u30032	u3554
u30031	u7471
u30030	u16
u30037	u449
u30036	u449
u30035	u25
u30034	u449
u30039	u25
u30038	u4947
u7711	u16
u7710	u24585
u7713	u556
u7712	u16
u7715	u449
u7714	u2031
u7717	u22552
u7716	u991
u7719	u26725
u7718	u26725
u34729	u16
u34728	u449
u2073	u703
u2072	u806
u2071	.
u2070	u55
u2077	u8408
u2076	u16
u2075	u27
u2074	u1631
u2079	u25910
u2078	u55
u6544	u6173
u20326	u806
u20327	.
u20324	u6587
u20325	u25
u20322	u16
u20323	.
u25202	u4138
u25203	u4313
u25200	u27016
u25201	u970
u37564	.
u25207	.
u25204	.
u25205	u7300
u37568	.
u37569	.
u25208	u24307
u25209	u16
u28003	u2026
u28002	u991
u28001	u991
u28000	u27363
u28007	u991
u28006	u991
u28005	u991
u28004	u991
u28009	u991
u28008	u991
u29750	u991
u29751	u16596
u29752	u16596
u29753	u16596
u23338	u2472
u23339	u7916
u29756	u27363
u29757	u25
u23334	u991
u23335	u2043
u23336	u25
u23337	u2043
u23330	u449
u23331	u1041
u23332	u25
u23333	u25
u20155	u16596
u20328	u55
u20329	u13068
u14237	u128
u20588	u17767
u20589	u1777
u20586	u29572
u20587	.
u20584	u16596
u20585	u6587
u20582	u16596
u20583	u16596
u20580	u27016
u20581	u16596
u31809	.
u31808	.
u32725	.
u14234	.
u31479	u449
u31801	.
u14233	u7170
u31803	.
u31802	.
u31805	.
u31804	.
u31807	.
u14232	u19886
u14231	u7601
u14230	u27596
u32724	u45715
u16578	u27016
u16579	u1133
u16572	u27016
u16573	.
u16570	u410
u16571	u29230
u16576	u4091
u16577	.
u16574	.
u16575	u1680
u21185	u191
u21184	u16
u21187	u55
u21186	u410
u21181	.
u21180	u21158
u21183	u16
u21182	.
u21189	u556
u21188	u5544
u20727	u25
u5749	.
u12170	u260
u6537	u6683
u24649	u16
u24648	u16
u24645	u17454
u24644	u16
u24647	u405
u24646	u7601
u24641	u21274
u24640	u17454
u24643	u55
u24642	.
u32729	.
u21239	.
u21238	.
u21237	u19925
u21236	.
u21235	.
u21234	.
u21233	u1631
u21232	u3729
u21231	u27016
u21230	.
u27178	u581
u27179	u16596
u27172	u19886
u27173	u7128
u27170	u2043
u27171	u19886
u27176	u7128
u27177	u2043
u27174	u2043
u27175	u25
u22522	u16
u22523	u20
u22520	u128
u22521	u994
u22526	.
u22527	.
u22524	u1774
u22525	u3554
u22528	u19886
u22529	.
u5748	u556
u25998	u25484
u25999	u25371
u25992	.
u25993	u1095
u25990	u25
u25991	u25984
u25996	.
u25997	.
u25994	.
u25995	u29609
u10628	u27016
u10629	u25142
u39269	u449
u39268	u4485
u39265	u449
u39264	u22027
u10622	u1536
u39266	u25
u39261	u27016
u39260	u16
u39263	u27473
u39262	u25
u23693	u7601
u23692	u55
u23691	u7601
u23690	.
u23697	u27392
u23696	u1536
u23695	u19886
u23694	u27016
u23699	u19955
u23698	u2598
u5741	u17689
u5742	u16
u38914	u8340
u43318	.
u43319	.
u2375	u16
u43314	.
u43315	.
u43316	.
u43317	.
u43310	.
u43311	.
u43312	.
u43313	.
u2377	u1680
u2370	u2043
u38911	u25
u2372	u2008
u2373	u754
u5744	u581
u2378	u449
u2379	u449
u12662	.
u12663	.
u12660	.
u12661	.
u12666	.
u12667	.
u12664	.
u12665	.
u15607	.
u12668	.
u12669	u22495
u16965	u1631
u16964	.
u16967	u16
u16966	.
u16961	u16
u28194	u449
u16963	u16
u16962	.
u18909	.
u18908	u3841
u16969	u7492
u16968	u16
u38604	u24354
u38605	u2008
u38606	u2008
u38607	u27016
u38600	u25
u38601	u25
u38602	u2043
u38603	u2043
u20103	u3234
u38608	u27016
u38609	.
u42964	u38510
u5747	u3278
u279	u970
u40669	.
u40668	.
u40665	.
u40664	.
u40667	.
u40666	.
u40661	.
u40660	.
u40663	.
u40662	.
u32797	.
u42965	u449
u5669	u3868
u12086	.
u12087	u19886
u12084	u23057
u12085	u4150
u12082	.
u12083	u23057
u12080	u16
u12081	u1041
u12088	u19886
u12089	u16
u5668	u27016
u5667	u16
u39478	.
u39479	.
u5666	u27016
u39470	.
u20105	u16596
u39471	.
u19357	u26116
u5665	u22530
u19355	u4138
u19354	u4138
u19353	u17012
u19352	u22541
u19351	u55
u19350	.
u19359	u17454
u19358	.
u41204	.
u41205	.
u41206	.
u41207	.
u41200	u45359
u41201	.
u41202	u43743
u41203	.
u41208	.
u41209	.
u20150	u64
u5663	u21928
u32602	.
u32603	.
u32600	.
u32601	.
u32606	.
u32607	.
u32604	.
u32605	.
u32608	.
u32609	.
u5662	u2267
u5661	.
u42417	.
u45437	.
u45436	.
u45435	.
u45434	u24285
u45433	.
u45432	.
u45431	.
u45430	.
u45439	.
u45438	u45422
u5660	u22076
u5987	.
u19825	u2793
u19824	.
u19827	.
u19826	.
u19821	.
u19820	u511
u19823	u7601
u19822	u693
u19829	u16596
u19828	u410
u20153	u16596
u34521	.
u34520	.
u34523	.
u34522	u37749
u34525	u944
u34524	.
u34527	u39357
u34526	.
u34529	.
u34528	.
u39928	.
u39929	.
u39926	.
u39927	.
u39924	.
u39925	.
u39922	.
u39923	.
u39920	.
u39921	.
u2279	u7059
u2278	u35634
u2275	u21639
u2274	u16
u2277	.
u2276	u449
u2271	u16
u2270	u18654
u2273	u16
u2272	u7394
u34299	.
u34298	.
u34293	.
u34292	u39724
u34291	u37946
u34290	.
u34297	u43993
u34296	.
u34295	u38830
u34294	u41690
u1898	u27
u1899	u16
u1890	u35634
u1891	u16
u1892	u27016
u1893	u1958
u1894	u4989
u1895	u27016
u1896	u16596
u1897	u16
u20620	.
u20152	u2008
u28579	u741
u28578	.
u28573	u27001
u28572	u1777
u28571	u29609
u28570	u1777
u28577	u16
u28576	u944
u28575	u944
u28574	u944
u29228	u25
u29229	u17035
u9849	u27016
u9848	u449
u148	u27016
u149	u2598
u9843	u27016
u147	u55
u29222	.
u145	u27
u29224	.
u143	u25198
u29226	u22004
u29227	u2472
u3638	u7059
u7998	u23058
u3632	.
u3633	u2043
u7991	u16
u7990	u191
u3636	.
u7996	u27016
u7995	.
u3635	u25
u4941	u27016
u4940	u3720
u4943	u25
u4942	u25
u4945	u29609
u4944	u8336
u4947	.
u4946	u22552
u4949	u2472
u4948	u449
u37179	.
u37178	.
u37173	.
u37172	.
u37171	.
u37170	.
u37177	.
u37176	.
u37175	.
u37174	.
u30994	u25
u30995	u449
u30996	u25
u30997	u43735
u30990	u449
u30991	u25
u30992	u449
u30993	u7128
u30998	u16
u30999	u25
u4365	u16596
u4364	u24286
u4367	u18719
u4366	u1462
u4361	u25531
u4360	u17689
u4363	u5794
u4362	.
u4369	u191
u4368	u994
u8468	u8423
u8469	u7417
u8462	u449
u8463	u548
u8460	.
u8461	.
u8466	.
u8467	u27363
u8464	u25
u8465	.
u9591	u16
u9590	u16596
u9593	u1154
u9592	.
u9595	u16
u9594	.
u9597	u16
u9596	u24453
u9599	u16
u9598	u16
u12723	.
u12722	u22027
u1591	u2472
u12720	u4912
u12727	u16
u12726	.
u18303	u22927
u12725	u23558
u24420	.
u12724	u27016
u7026	u16
u18301	u25
u18300	.
u18307	.
u18306	u27016
u1461	u27016
u15859	u38505
u1463	u16
u1462	.
u1465	u410
u18305	.
u1467	u703
u1466	u556
u1469	u556
u1468	u24453
u15852	u16
u18304	.
u15854	.
u15855	u26978
u15856	u24771
u15857	u16
u9335	u22458
u9334	u17497
u9337	u17854
u9336	.
u9331	u29609
u9330	u1631
u9333	u1536
u9332	u1536
u9339	.
u9338	u55
u1595	u27016
u31229	u25
u31228	u25
u23909	u23307
u23908	u16
u20604	.
u23903	u6587
u23902	u25
u23901	u19886
u23900	u16
u23907	u27016
u23906	u25
u23905	u3748
u23904	u25
u1285	u16966
u1284	u1831
u1287	u1801
u1286	u16596
u1281	u27016
u1280	u38997
u1283	u191
u1282	u703
u1289	u2043
u1288	u410
u5908	.
u5909	u25429
u5902	.
u5903	u1536
u5900	.
u5901	u3574
u5906	u970
u5907	u18166
u5904	.
u5905	u7417
u1596	u55
u14813	.
u14812	u18654
u14811	u55
u14810	u16596
u14817	.
u14816	u19886
u14815	u27
u14814	u21624
u14819	u2598
u14818	.
u30176	u25
u30177	u25
u30174	u15905
u30175	.
u30172	u25
u30173	u25
u21419	.
u21418	.
u21417	.
u21416	.
u21415	.
u21414	u7560
u21413	.
u21412	.
u21411	u7492
u21410	.
u34886	.
u34887	.
u34884	.
u34885	u37973
u34882	.
u34883	u33991
u34880	.
u34881	.
u20607	u19886
u34888	u24285
u34889	.
u7500	u16
u7501	u1095
u7502	.
u7503	u3250
u7504	u16
u7505	.
u7506	u16
u7507	u16
u7508	u1041
u7509	.
u8853	.
u8852	u16
u8851	u17854
u28633	.
u28634	.
u28635	u29858
u8855	u19886
u8854	u7417
u28638	u25
u28639	u2043
u22296	.
u8858	u4485
u22290	.
u22291	.
u22292	.
u22293	.
u7156	u9444
u17540	.
u17541	.
u17542	u2701
u17543	u449
u17544	u22021
u17545	u449
u17546	.
u17547	u16
u17548	u16
u17549	.
u42511	u40211
u4009	u21919
u8585	u311
u42510	u556
u8587	u4377
u44845	u25
u8586	u2701
u44844	u449
u4000	u16
u1049	u7185
u8580	u6443
u25413	u7609
u25412	.
u25411	u7059
u25410	u27016
u25417	u19886
u25416	u7589
u25415	u7589
u25414	.
u25419	u18450
u25418	u7589
u20429	.
u20428	.
u26140	u11289
u26141	u14696
u26142	u22530
u26143	u7128
u26144	u25557
u26145	u222
u26146	u27
u26147	u1513
u26148	u38997
u34542	u449
u36790	.
u1042	u22552
u36792	.
u30622	u45480
u36793	.
u27819	u29320
u27818	u1462
u30623	u25021
u27815	u24358
u27814	u944
u27817	u22541
u27816	.
u27811	u944
u27810	u16
u27813	u556
u27812	u556
u42515	u27016
u30621	.
u19679	.
u1045	u3132
u1044	u27363
u30082	u16
u34540	u21429
u30083	u16
u30625	u41543
u30080	u6587
u42514	u30231
u21163	u4342
u30081	u40155
u2670	u64
u30628	.
u2672	u16
u21167	.
u42517	u16596
u2674	u14499
u6213	u410
u21165	u19886
u6212	u14499
u2676	u4129
u6211	u556
u35262	u991
u6217	u7185
u6216	u2043
u6215	.
u6214	u449
u24438	u1095
u24439	.
u18318	u8602
u18319	u449
u24432	u19886
u24433	u16
u24430	.
u24431	u27016
u18310	u191
u18311	u16999
u24434	u6346
